10001
(00000) Freq	Fast Fourier Transform
(00137) +13.60    | -12.76233 j -0.54556
(00138) +13.70    | +21.68582 j +0.93384
(00139) +13.80    | -22.26622 j -0.96584
(00140) +13.90    | +14.40436 j +0.62935
(00141) +14.00    |  -1.19867 j -0.05275
(00142) +14.10    | -12.27354 j -0.54398
(00143) +14.20    | +20.90614 j +0.93316
(00144) +14.30    | -21.49751 j -0.96632
(00145) +14.40    | +13.93590 j +0.63081
(00146) +14.50    |  -1.19857 j -0.05463
(00147) +14.60    | -11.81818 j -0.54239
(00148) +14.70    | +20.17939 j +0.93248
(00149) +14.80    | -20.78064 j -0.96681
(00150) +14.90    | +13.49880 j +0.63227
(00151) +15.00    |  -1.19847 j -0.05651
(00152) +15.10    | -11.39291 j -0.54081
(00153) +15.20    | +19.50035 j +0.93180
(00154) +15.30    | -20.11051 j -0.96729
(00155) +15.40    | +13.09001 j +0.63373
(00156) +15.50    |  -1.19837 j -0.05839
(00157) +15.60    | -10.99485 j -0.53922
(00158) +15.70    | +18.86446 j +0.93111
(00159) +15.80    | -19.48270 j -0.96776
(00160) +15.90    | +12.70687 j +0.63519
(00161) +16.00    |  -1.19826 j -0.06028
(00162) +16.10    | -10.62146 j -0.53763
(00163) +16.20    | +18.26774 j +0.93042
(00164) +16.30    | -18.89330 j -0.96824
(00165) +16.40    | +12.34702 j +0.63664
(00166) +16.50    |  -1.19815 j -0.06216
(00167) +16.60    | -10.27052 j -0.53604
(00168) +16.70    | +17.70665 j +0.92973
(00169) +16.80    | -18.33889 j -0.96871
(00170) +16.90    | +12.00840 j +0.63810
(00171) +17.00    |  -1.19804 j -0.06404
(00172) +17.10    |  -9.94004 j -0.53445
(00173) +17.20    | +17.17810 j +0.92904
(00174) +17.30    | -17.81643 j -0.96917
(00175) +17.40    | +11.68917 j +0.63955
(00176) +17.50    |  -1.19792 j -0.06592
(00177) +17.60    |  -9.62830 j -0.53286
(00178) +17.70    | +16.67933 j +0.92834
(00179) +17.80    | -17.32324 j -0.96964
(00180) +17.90    | +11.38772 j +0.64099
(00181) +18.00    |  -1.19780 j -0.06780
(00182) +18.10    |  -9.33374 j -0.53126
(00183) +18.20    | +16.20787 j +0.92764
(00184) +18.30    | -16.85690 j -0.97009
(00185) +18.40    | +11.10259 j +0.64244
(00186) +18.50    |  -1.19768 j -0.06968
